word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
tow,tәu,n. the act of hauling something (as a vehicle) by means of a hitch or rope\nv. drag behind,"n. 拖, 拖绳, 拖轮\nvt. 拖, 拉, 牵引",,2,,cet6 ky toefl ielts,9914,9000,d:towed/i:towing/p:towed/s:tows/3:tows,,
towel,'tauәl,n. a rectangular piece of absorbent cloth (or paper) for drying or wiping\nv. wipe with a towel,"n. 手巾, 毛巾\nv. 擦干身子",,2,1,zk gk cet4 cet6 ky toefl ielts,4814,3682,s:towels/p:towelled/i:towelling/3:towels/d:towelled,,
tower,'tauә,n. a structure taller than its diameter; can stand alone or be attached to a larger building,"n. 塔, 高楼, 堡垒\nvi. 高耸, 翱翔",,3,1,zk gk cet4 cet6 ky toefl ielts,2131,2412,s:towers/p:towered/i:towering/3:towers/d:towered,,
town,taun,n. an urban area with a fixed boundary that is smaller than a city\nn. the people living in a municipality smaller than a city\nn. United States architect who was noted for his design and construction of truss bridges (1784-1844),"n. 城镇, 市, 镇\n[法] 城镇, 城市, 闹市",,5,1,zk gk ielts,433,488,s:towns,,
toxic,'tɒksik,a. of or relating to or caused by a toxin or poison,"a. 有毒的, 中毒的\n[医] 中毒的, 毒物的",,2,,cet6 ky toefl ielts gre,5147,4090,s:toxics,,
toys,,n an artifact designed to be played with\nn a nonfunctional replica of something else (frequently used as a modifier)\nn a device regarded as providing amusement\nn a copy that reproduces a person or thing in greatly reduced size\nn any of several breeds of very small dogs kept purely as pets\nv behave carelessly or indifferently\nv manipulate manually or in one's mind or imagination\nv engage in an activity as if it were a game rather than take it seriously,n. 玩具（toy的复数）,,,,ielts,0,0,0:toy/1:s3,,
trace,treis,n. a just detectable amount\nn. an indication that something has been present\nn. either of two lines that connect a horse's harness to a wagon or other vehicle or to a whiffletree\nn. a visible mark (as a footprint) left by the passage of person or animal or vehicle,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳\nvt. 追踪, 回溯, 描绘\nvi. 追溯, 沿路走",,3,1,cet4 cet6 ky toefl ielts,2868,3020,d:traced/s:traces/i:tracing/p:traced/3:traces,,
track,træk,n. a pair of parallel rails providing a runway for wheels\nn. an endless metal belt on which tracked vehicles move over the ground\nn. (computer science) one of the circular magnetic paths on a magnetic disk that serve as a guide for writing and reading data\nn. a groove on a phonograph recording,"n. 轨迹, 足迹, 径迹, 小道, 轨道, 磁轨, 途径\nvt. 循路而行, 追踪, 通过, 用纤拉\nvi. 追踪, 留下足迹, 沿轨道运行\n[计] 跟踪",,4,1,gk cet4 cet6 ky toefl ielts gre,1268,1143,s:tracks/d:tracked/p:tracked/i:tracking/3:tracks,,
tract,trækt,n. an extended area of land\nn. a system of body parts that together serve some particular purpose\nn. a brief treatise on a subject of interest; published in the form of a booklet,"n. 大片土地, 地带, 小册子\n[医] 束, 道",,1,,cet6 toefl ielts gre,6081,6133,s:tracts,,
traction,'trækʃәn,n. (orthopedics) the act of pulling on a bone or limb (as in a fracture) to relieve pressure or align parts in a special way during healing,"n. 曳, 牵引, 牵引力\n[医] 牵引",,1,,toefl ielts,15310,9977,s:tractions,,
tractor,'træktә,n. a wheeled vehicle with large wheels; used in farming and other applications\nn. a truck that has a cab but no body; used for pulling large trailers or vans,"n. 牵引器, 拖拉机, 拉纸器\n[计] 进纸器",,1,,gk cet4 cet6 ky toefl ielts,7015,6548,s:tractors,,
trade,treid,n. the commercial exchange (buying and selling on domestic or international markets) of goods and services\nn. the skilled practice of a practical occupation\nn. the business given to a commercial establishment by its customers\nv. engage in the trade of,"n. 贸易, 商业, 交易, 生意, 职业, 顾客, 信风\nvi. 进行交易, 做买卖, 经商, 对换, 购物\nvt. 用...进行交换",,5,1,zk gk cet4 cet6 ky ielts,485,800,s:trades/i:trading/d:traded/p:traded/3:trades,,
traditional,trә'diʃәnl,a. consisting of or derived from tradition\ns. pertaining to time-honored orthodox doctrines,"a. 传统的, 惯例的\n[经] 传统的, 惯例的",,4,1,zk gk cet4 cet6 ielts,1006,925,,,
traffic,'træfik,n. the aggregation of things (pedestrians or vehicles) coming and going in a particular locality during a specified period of time\nn. buying and selling; especially illicit trade\nn. the amount of activity over a communication system during a given period of time\nv. deal illegally,"n. 交通, 通行, 运输, 交通量, 贸易, 交易, 交往, 通信量\nvi. 交易, 做买卖\nvt. 用...作交换\n[计] 通信量, 传输量",,3,1,zk gk cet4 cet6 ky toefl ielts,1423,1712,i:trafficking/p:trafficked/3:traffics/d:trafficked,,
tragedy,'trædʒidi,n. drama in which the protagonist is overcome by some superior force or circumstance; excites terror or pity,"n. 悲剧, 惨案, 悲剧作品\n[法] 惨事, 灾难, 不辛",,3,,cet4 cet6 ky toefl ielts gre,3508,2883,s:tragedies,,
trail,treil,"n. a track or mark left by something that has passed\nn. a path or track roughly blazed through wild or hilly country\nv. move, proceed, or walk draggingly or slowly\nv. hang down so as to drag along the ground","n. 踪迹, 痕迹, 一串, 尾部, 小径, 持枪姿势\nvt. 拖, 尾随, 追踪, 落后于, 开出路\nvi. 拖曳, 垂下, 落后, 飘出, 蔓生",,3,,cet4 cet6 ky toefl ielts,4331,1646,p:trailed/i:trailing/s:trails/3:trails/d:trailed,,
train,trein,n. public transport provided by a line of railway cars coupled together and drawn by a locomotive\nn. a series of consequences wrought by an event\nn. piece of cloth forming the long back section of a gown that is drawn along the floor\nv. create by training and teaching,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序\nvt. 训练, 教育, 对准\nvi. 受训练, 锻炼",,4,1,zk gk ielts,1186,1516,d:trained/s:trains/i:training/p:trained/3:trains,,
training,'treiniŋ,n. activity leading to skilled behavior,"n. 训练, 培养\n[医] 训练",,,1,zk gk cet4 cet6 ky ielts,516,796,i:training/0:training/1:i,,
trains,,"n public transport provided by a line of railway cars coupled together and drawn by a locomotive\nn a sequentially ordered set of things or events or ideas in which each successive member is related to the preceding\nn a procession (of wagons or mules or camels) traveling together in single file\nn a series of consequences wrought by an event\nn piece of cloth forming the long back section of a gown that is drawn along the floor\nn wheelwork consisting of a connected set of rotating gears by which force is transmitted or motion or torque is changed\nv create by training and teaching\nv undergo training or instruction in preparation for a particular role, function, or profession\nv develop (children's) behavior by instruction and practice; especially to teach self-control\nv educate for a future role or function\nv teach or refine to be discriminative in taste or judgment\nv point or cause to go (blows, weapons, or objects such as photographic equipment) towards\nv teach and supervise (someone); act as a trainer or coach (to), as in sports\nv exercise in order to prepare for an event or competition\nv cause to grow in a certain way by tying and pruning it\nv travel by rail or train\nv drag loosely along a surface; allow to sweep the ground",n. 火车；行列（train的复数形式）,,,,ielts,48298,0,0:train/1:s3,,
trait,treit,n. a distinguishing feature of your personal nature,"n. 特征, 特性, 一笔, 少许",,1,,cet6 ky toefl ielts gre,6541,3737,s:traits,,
traitor,'treitә,n. someone who betrays his country by committing treason,"n. 叛逆者, 叛国者\n[法] 叛徒, 叛逆, 背信者",,1,,cet4 cet6 ky toefl ielts gre,10023,9963,s:traitors,,
tramp,træmp,"n. a disreputable vagrant\nn. a heavy footfall\nv. travel on foot, especially on a walking expedition\nv. cross on foot","n. 坚实(或沉重)的脚步声, 流浪者\nvi. 践踏, 重步行走, 步行, 流浪\nvt. 走过, 踩",,1,,cet4 cet6 ky ielts gre,8896,16137,s:tramps/i:tramping/p:tramped/d:tramped/3:tramps,,
trample,'træmpl,n. the sound of heavy treading or stomping\nv. injure by trampling or as if by trampling,"n. 践踏(声), 蹂躏\nv. 践踏, 无视",,1,,cet6 toefl ielts gre,11327,11298,d:trampled/i:trampling/p:trampled/3:tramples/s:tramples,,
tranquility,.træŋ'kwiliti,n a disposition free from stress or emotion\nn an untroubled state; free from disturbances\nn a state of peace and quiet,n. 宁静,,,,toefl ielts gre,33556,15014,,,
transaction,træn'sækʃәn,n. the act of transacting within or between groups (as carrying on commercial activities),"n. 交易, 办理, 学报, 和解协议\n[计] 事务处理",,,,cet6 ky toefl ielts gre,2065,3813,s:transactions,,
transcend,træn'send,v be greater in scope or size than some standard\nv be superior or better than some standard,"vt. 超越, 胜过",,1,,cet6 ky toefl ielts gre,10296,6661,3:transcends/p:transcended/i:transcending/d:transcended,,
transcript,'trænskript,n. something that has been transcribed; a written record (usually typewritten) of dictated or recorded speech\nn. a reproduction of a written record (e.g. of a legal or school record),"n. 抄本, 副本, 成绩单\n[法] 法院文本, 官方记录, 记录的副本",,2,,toefl ielts,9006,6204,s:transcripts,,
transfer,træns'fә:,n. someone who transfers or is transferred from one position to another\nn. the act of transfering something from one form to another\nn. a ticket that allows a passenger to change conveyances\nn. application of a skill learned in one situation to a different but similar situation,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车\nvt. 使转移, 调转, 调任, 改变, 传递, 转让\nvi. 转移, 转学, 转职, 换车\n[计] 传送",,4,1,cet4 cet6 ky toefl ielts gre,1593,2315,d:transferred/s:transfers/i:transferring/p:transferred/3:transfers,,
transform,træns'fɒ:m,"v. subject to a mathematical transformation\nv. change or alter in form, appearance, or nature\nv. change in outward structure or looks\nv. convert (one form of energy) to another","vt. 使转换, 改变, 改造, 使...变形\nvi. 改变, 转化, 变换\n[计] 变换",,3,1,gk cet4 cet6 ky toefl ielts,2693,2185,d:transformed/i:transforming/p:transformed/3:transforms,,
transfuse,træns'fju:z,"v. pour out of one vessel into another\nv. give a transfusion (e.g., of blood) to","vt. 输血, 充满\n[医] 输血, 输液",,,,ielts gre,49892,38041,p:transfused/d:transfused/i:transfusing/3:transfuses,,
transgress,træns'gres,"v. act in disregard of laws, rules, contracts, or promises\nv. spread over land, especially along a subsiding shoreline\nv. pass beyond (limits or boundaries)","vt. 违反, 犯罪, 侵犯\nvi. 越界, 违法",,,,ielts gre,19327,20882,p:transgressed/d:transgressed/i:transgressing/3:transgresses/s:transgresses,,
transistor,træn'zistә,n. a semiconductor device capable of amplification,n. 晶体管\n[化] 晶体管,,1,,cet4 cet6 ky ielts,10735,13031,s:transistors,,
transit,'trænsit,v. make a passage or journey from one place to another\nv. pass across (a sign or house of the zodiac) or pass across (the disk of a celestial body or the meridian of a place)\nv. revolve (the telescope of a surveying transit) about its horizontal transverse axis in order to reverse its direction\nv. cause or enable to pass through,"n. 经过, 通行, 运输, 运输线, 转变\nvt. 运送, 使通过, 经过\nvi. 通过",,2,,cet6 toefl ielts,6107,4859,s:transits/i:transiting/d:transitted/p:transited/3:transits,,
transition,træn'ziʃәn,n. a change from one place or state or subject or stage to another\nn. a musical passage moving from one key to another\nn. a passage that connects a topic to one that follows\nv. cause to convert or undergo a transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调\n[化] 跃迁",,3,,cet6 ky toefl ielts gre,2912,2212,s:transitions/d:transitioned/i:transitioning/p:transitioned/3:transitions,,
translucent,træns'lu:snt,s. allowing light to pass through diffusely,"a. 半透明的, 透明的",,1,,toefl ielts gre,14861,10086,,,
transmission,træns'miʃәn,n. the act of sending a message; causing a message to be transmitted\nn. communication by means of transmitted signals\nn. the gears that transmit power from an automobile engine via the driveshaft to the live axle,"n. 传输, 传送, 变速器\n[计] 传输",,2,,cet4 cet6 ky toefl ielts,4198,3665,s:transmissions,,
transparent,træns'pærәnt,s. easily understood or seen through (because of a lack of subtlety),"a. 透明的, 显然的, 清晰的\n[计] 透明",,1,1,gk cet4 cet6 ky toefl ielts gre,6902,5884,s:transparents,,
transplant,træns'plɑ:nt,n. an operation moving an organ from one organism (the donor) to another (the recipient)\nn. the act of removing something from one location and introducing it in another location\nv. lift and reset in another soil or situation\nv. be transplantable,"vt. 使移居, 移植, 使迁移\nvi. 移居, 耐移植\nn. 移居者, 移植",,2,,cet4 cet6 ky toefl ielts,8061,5386,s:transplants/d:transplanted/p:transplanted/i:transplanting/3:transplants,,
transport,træns'pɒ:t,"n. an exchange of molecules (and their kinetic energy and momentum) across the boundary between adjacent layers of a fluid or across cell membranes\nv. move something or somebody around; usually over long distances\nv. move while supporting, either in a vehicle or in one's hands or on one's body\nv. transport commercially","n. 运输, 运输工具, 激动, 狂喜, 流放犯\nvt. 传送, 运输, 流放\n[计] 传送",,4,1,gk cet4 cet6 ky ielts gre,1202,4640,d:transported/i:transporting/p:transported/3:transports/s:transports,,
transportation,.trænspә'teiʃәn,n. the act of moving something from one location to another\nn. the commercial enterprise of moving goods and materials,"n. 运输, 输送, 交通车辆\n[经] 运转, 运输, 运输费",,2,,cet4 cet6 ielts,7832,2374,s:transportations,,
trap,træp,n. a device in which something (usually an animal) can be caught and penned\nn. drain consisting of a U-shaped section of drainpipe that holds liquid and so prevents a return flow of sewer gas\nn. something (often something deceptively attractive) that catches you unawares\nn. a device to hurl clay pigeons into the air for trapshooters,"n. 圈套, 陷阱, 诡计, 存水弯\nvi. 设圈套, 设陷阱\nvt. 诱捕, 诱骗, 抓住, 使受限制\n[计] 俘获; 陷井",,3,1,gk cet4 cet6 ky toefl ielts,3373,3538,d:trapped/s:traps/p:trapped/i:trapping/3:traps,,
trauma,'trɒ:mә,n. an emotional wound or shock often having long-lasting effects,"n. 外伤, 损伤\n[医] 创伤, 外伤",,2,,ielts,7569,4824,s:traumas,,
travel,'trævl,"n. the act of going from one place to another\nv. change location; move, travel, or proceed, also metaphorically\nv. undertake a journey or trip\nv. make a trip for pleasure","n. 旅行, 游历, 行进\nvi. 旅行, 行进, 移动, 被传播\nvt. 旅行, 通过, 使移动",,4,1,zk gk ielts,1132,1081,i:travelling/p:travelled/d:travelled/s:travels/3:travels,,
travelers,,n a person who changes location,n. 旅行者；旅客（traveler的复数形式）,,,,ielts,0,0,0:traveler/1:s,,
traveling,'trævliŋ,"n the act of going from one place to another\nv change location; move, travel, or proceed, also metaphorically\nv undertake a journey or trip\nv make a trip for pleasure\nv travel upon or across\nv undergo transportation as in a vehicle\nv travel from place to place, as for the purpose of finding work, preaching, or acting as a judge","a. 旅行的, 旅行用的, 移动的",,,,ielts,0,9505,,,
traverse,'trævә:s,v. travel across or pass over\nv. deny formally (an allegation of fact by the opposing party) in a legal suit,"n. 越过, 横贯, 横断物, 屏障, 否认, 反驳\nvt. 横过, 穿过, 经过, 详细研究, 反对, 在...来回移动\nvi. 横越, 横断, 旋转, 来回移动\na. 横亘的, 横贯的",,1,,cet6 toefl ielts gre,11616,9649,d:traversed/i:traversing/p:traversed/3:traverses/s:traverses,,
treatise,'tri:tis,n. a formal exposition,"n. 论文, 专著",,1,,ielts gre,12500,11509,s:treatises,,
treatment,'tri:tmәnt,n. care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)\nn. the management of someone or something\nn. a manner of dealing with something artistically,"n. 治疗, 待遇, 处理\n[医] 疗法, 治疗; 处理",,4,1,zk gk cet4 cet6 toefl ielts,766,745,s:treatments,,
treaty,'tri:ti,n. a written agreement between two states or sovereigns,"n. 条约, 谈判\n[经] 协议, 协定, 协商",,4,,cet4 cet6 ky ielts gre,1659,2836,s:treaties,,
treble,'trebl,v. sing treble\ns. three times as great or many,"n. 最高声部, 三倍\na. 三倍的, 最高声部的\nvt. 使增为三倍\nvi. 成为三倍",,1,,ielts,13771,25313,d:trebled/s:trebles/p:trebled/i:trebling/3:trebles,,
tree,tri:,n. a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms\nn. a figure that branches from a single root\nn. English actor and theatrical producer noted for his lavish productions of Shakespeare (1853-1917)\nv. plant with trees,"n. 树, 木料, 树状物\nvt. 把...赶上树\n[计] 树; DOS外部命令:显示指定磁盘驱动器的目录结构",,4,1,zk gk ielts,680,596,s:trees/i:treeing/p:treed/3:trees/d:treed,,
trees,,n a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms\nn a figure that branches from a single root\nn English actor and theatrical producer noted for his lavish productions of Shakespeare (1853-1917)\nv force a person or an animal into a position from which he cannot escape\nv plant with trees\nv chase an animal up a tree\nv stretch (a shoe) on a shoetree,n. 树木；乔木；树状结构（tree的复数）,,,,ielts,0,0,1:s3/0:tree,,
trek,trek,"n. a journey by ox wagon (especially an organized migration by a group of settlers)\nn. any long and difficult trip\nv. journey on foot, especially in the mountains\nv. make a long and difficult journey","vi. 牛拉货车, 艰苦跋涉\nn. 牛车旅行, 艰苦跋涉",,2,,ielts gre,11501,9100,i:trekking/p:trekked/s:treks/d:trekked/3:treks,,
tremble,'trembl,n. a reflex motion caused by cold or fear or excitement\nv. move or jerk quickly and involuntarily up and down or sideways,"n. 战栗, 颤抖\nvi. 战栗, 忧虑, 摇晃",,2,,gk cet4 cet6 ky toefl ielts,4432,5233,i:trembling/p:trembled/3:trembles/d:trembled,,
tremendous,tri'mendәs,"s extraordinarily large in size or extent or amount or power or degree; that a whole civilization should be dependent on technology""- Walter Lippman\ns extraordinarily good or great; used especially as intensifiers\ns extreme in degree or extent or amount or impact","a. 巨大的, 非常的, 可怕的",,3,,cet4 cet6 ky toefl ielts gre,3501,2768,,,
trench,trentʃ,n. a ditch dug as a fortification having a parapet of the excavated earth\nn. a long steep-sided depression in the ocean floor\nn. any long ditch cut in the ground\nv. fortify by surrounding with trenches,"n. 渠, 沟渠, 战壕\nvt. 在...开沟, 挖战壕于, 用战壕围住\nvi. 挖战壕, 开沟",,1,,cet6 ky toefl ielts gre,5674,6459,s:trenches/i:trenching/p:trenched/d:trenched/3:trenches,,
trend,trend,n a general direction in which something tends to move\nn general line of orientation\nn a general tendency to change (as of opinion)\nn the popular taste at a given time\nv turn sharply; change direction abruptly,"n. 趋势, 倾向, 走向\nvi. 倾向, 转向\n[计] 趋势",,3,1,gk cet4 cet6 ky toefl ielts gre,1949,1697,s:trends/i:trending/p:trended/3:trends/d:trended,,
trends,,n a general direction in which something tends to move\nn general line of orientation\nn a general tendency to change (as of opinion)\nn the popular taste at a given time\nv turn sharply; change direction abruptly,"n. 动态, 趋势",,,,ielts,0,0,1:s3/0:trend,,
trespass,'trespәs,"n. a wrongful interference with the possession of property (personal property as well as realty), or the action instituted to recover damages\nn. entry to another's property without right or permission\nv. enter unlawfully on someone's property\nv. make excessive use of","n. 擅自进入, 非法侵入, 侵害\nvi. 侵害, 侵入, 打扰, 冒犯",,1,,toefl ielts gre,14197,15976,i:trespassing/s:trespasses/p:trespassed/d:trespassed/3:trespasses,,
trial,'traiәl,n. trying something to find out about it\nn. (law) the determination of a person's innocence or guilt by due process of law\nn. (sports) a preliminary competition to determine qualifications\nn. an annoying or frustrating or catastrophic event,"n. 审判, 试验, 艰苦, 麻烦事, 考验\na. 审讯的, 试验性的",,4,1,gk cet4 cet6 ky toefl ielts,1166,898,s:trials/p:trialled,,
triangle,'traiæŋgl,n. a three-sided polygon\nn. something approximating the shape of a triangle\nn. any of various triangular drafting instruments used to draw straight lines at specified angles\nn. a percussion instrument consisting of a metal bar bent in the shape of an open triangle,"n. 三角形, 三个一组, 三角关系\n[医] 三角, 三角形",,1,1,gk cet4 cet6 ky toefl ielts,5296,5605,s:triangles,,
tribe,traib,n. a social division of (usually preliterate) people\nn. a federation (as of American Indians)\nn. (biology) a taxonomic category between a genus and a subfamily,"n. 宗族, 部落, 一群人\n[医] 族(生物分类)",,2,,cet4 cet6 ky toefl ielts,4602,2948,s:tribes,,
tributary,'tribjutәri,s. (of a stream) flowing into a larger stream\ns. paying tribute,"a. 支流的, 纳贡的, 从属的, 辅助的\nn. 支流, 纳贡者, 属国",,,,toefl ielts gre,14971,11428,s:tributaries,,
tributes,t'rɪbju:ts,n something given or done as an expression of esteem\nn payment by one nation for protection by another\nn payment extorted by gangsters on threat of violence,n. （尤指旧时一国向他国交纳的）贡品( tribute的名词复数 ); （良好效果或影响的）体现; （尤指对死者的）致敬; 称赞,,,,ielts,0,0,0:tribute/1:s,,
trick,trik,"n. a cunning or deceitful action or device\nn. a period of work or duty\nn. an attempt to get you to do something foolish or imprudent\nn. (card games) in a single round, the sequence of cards played by all the players; the high card is the winner","n. 诡计, 欺诈, 谋略, 恶作剧, 习惯, 决窍\nvt. 愚弄, 欺骗, 装饰\nvi. 哄骗, 戏弄\na. 有决窍的, 特技的, 欺诈的, 漂亮的, 靠不住的",,3,1,gk cet4 cet6 ky toefl ielts,3180,3068,s:tricks/d:tricked/p:tricked/3:tricks/i:tricking,,
trickle,'trikl,"v. run or flow slowly, as in drops or in an unsteady stream","n. 滴, 细流\nvi. 滴, 细细地流\nvt. 使滴, 使小量流动\n[计] 信息透露",,1,,toefl ielts gre,10055,8863,p:trickled/i:trickling/s:trickles/3:trickles/d:trickled,,
trifle,'traifl,"n. a cold pudding made of layers of sponge cake spread with fruit or jelly; may be decorated with nuts, cream, or chocolate","n. 琐事, 少量\nvt. 浪费\nvi. 开玩笑, 翻弄, 虚度光阴",,1,,cet4 cet6 ky ielts gre,11802,16426,s:trifles/d:trifled/i:trifling/p:trifled/3:trifles,,
trigger,'trigә,n. a device that activates or releases or causes something to happen\nn. an act that sets in motion some course of events\nv. release or pull the trigger on,"n. 触发器, 扳机\nvt. 触发, 发射, 引起\nvi. 松开扳柄\n[计] 切换开关",,3,,cet6 ky toefl ielts gre,4962,3666,d:triggered/p:triggered/i:triggering/3:triggers/s:triggers,,
trim,trim,"n. a state of arrangement or appearance\nn. attitude of an aircraft in flight when allowed to take its own orientation\nn. cutting down to the desired size or shape\nv. decorate, as with ornaments","n. 整齐, 情形, 修剪\na. 整齐的\nvt. 使整齐, 整理, 修剪\nvi. 调整, 见风使舵\n[计] 库存管理检查规则程序",,2,,cet4 cet6 ky toefl ielts gre,5969,4920,d:trimmed/i:trimming/p:trimmed/s:trims/r:trimmer/3:trims,,
trinity,'triniti,n. the union of the Father and Son and Holy Ghost in one Godhead,"n. 三人一组, 三个一组的东西, 三位一体",,,,ielts,10076,22080,,,
trip,trip,n. a journey for some purpose (usually including the return)\nn. a hallucinatory experience induced by drugs\nn. an exciting or stimulating experience\nn. a light or nimble tread,"n. 旅行, 绊倒, 摔倒, 失足, 差错, 旅程\nvt. 使跌倒, 使犯错, 使失败\nvi. 轻快地走, 绊倒, 失误, 犯错, 结巴, 旅行, 远足",,4,1,zk gk toefl ielts,1664,962,s:trips/i:tripping/p:tripped/3:trips/d:tripped,,
triple,'tripl,n. a base hit at which the batter stops safely at third base\nn. a quantity that is three times as great as another\nv. increase threefold\nv. hit a three-base hit,"n. 三倍数, 三个一组\na. 三倍的\nvt. 使增至三倍\nvi. 增至三倍",,2,,cet6 ky ielts,8696,7063,d:tripled/p:tripled/s:triples/i:tripling/3:triples,,
triumph,'traiәmf,n. the exultation of victory,"n. 凯旋, 胜利, 欢欣\nvi. 得胜, 成功",,3,,cet4 cet6 ky toefl ielts gre,3546,4638,s:triumphs/p:triumphed/d:triumphed/i:triumphing/3:triumphs,,
trivial,'tiviәl,s. concerned with trivialities,"a. 琐碎的, 不重要的, 轻微的, 平常的",,1,,cet6 ky toefl ielts gre,5940,8180,,,
trolley,'trɒli,n a wheeled vehicle that runs on rails and is propelled by electricity,"n. 电车, 手推车, 台车\nvt. 用手推车运\nvi. 乘电车",,1,,cet6 ky toefl ielts,6071,12139,s:trolleys,,
tropic,'trɒpik,n. either of two parallels of latitude about 23.5 degrees to the north and south of the equator representing the points farthest north and south at which the sun can shine directly overhead and constituting the boundaries of the Torrid Zone or tropics,n. 回归线,,,,cet6 ky ielts,38589,26288,,,
trouble,'trʌbl,n. a source of difficulty\nn. an event causing distress or pain\nn. an effort that is inconvenient\nn. an unwanted pregnancy,"n. 烦恼, 麻烦, 困难, 动乱, 故障\nvt. 困扰, 麻烦, 使烦恼, 折磨\nvi. 烦恼, 费心",,4,1,zk gk toefl ielts,1005,981,s:troubles/d:troubled/p:troubled/3:troubles/i:troubling,,
troupe,tru:p,n organization of performers and associated personnel (especially theatrical),"n. 团, 班, 一伙\nvi. 巡回演出",,1,,ky toefl ielts gre,16383,11543,s:troupes,,
trousers,'trauzәz,"n (usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately\nn a garment (or part of a garment) designed for or relating to trousers","pl. 裤子, 长裤",,2,1,zk gk cet4 cet6 ky ielts,2969,7124,s:trousers/0:trousers/1:s,,
truant,'tru:әnt,n. one who is absent from school without permission\ns. absent without permission,"n. 懒惰的人, 玩忽职守者, 旷课者\na. 偷懒的, 旷课的, 游荡的\nvi. 偷懒, 旷课",,,,ielts gre,22672,27319,s:truants/i:truanting/d:truanted,,
truce,tru:s,n a state of peace agreed to between opponents so they can discuss peace terms,"n. 停战, 休战\nvi. 停战, 休止\nvt. 以休战结束",,2,,ielts gre,8938,11070,s:truces,,
trumpet,'trʌmpit,"v. proclaim on, or as if on, a trumpet\nv. play or blow on the trumpet\nv. utter in trumpet-like sounds","n. 喇叭, 小号, 喇叭声\nvi. 吹喇叭\nvt. 用喇叭吹出, 吹嘘",,2,,cet4 cet6 ky toefl ielts gre,8849,8936,s:trumpets/3:trumpets/i:trumpeting/p:trumpeted/d:trumpeted,,
trunk,trʌŋk,n. the main stem of a tree; usually covered with bark; the bole is usually the part that is commercially useful for lumber\nn. luggage consisting of a large strong case used when traveling or for storage,"n. 树干, 干线, 躯干, 主干, 象鼻, 箱子\nvt. 把...放入旅行箱内\na. 树干的, 躯干的, 干线的, 箱形的\n[计] 中继线; 母线",,2,,gk cet4 cet6 ky toefl ielts gre,4993,3533,s:trunks/i:trunking,,
trustworthy,'trʌst.wә:ði,a. worthy of trust or belief\ns. taking responsibility for one's conduct and obligations,"a. 可信赖的\n[法] 可信任的, 可靠的, 可信赖的",,1,,toefl ielts gre,14363,13072,,,
tube,tju:b,n. conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases\nn. electronic device consisting of a system of electrodes arranged in an evacuated glass or metal envelope\nn. (anatomy) any hollow cylindrical body structure\nv. provide with a tube or insert a tube into,"n. 管, 软管, 隧道\nvt. 把...装管, 使通过管子\n[计] 管子",,3,1,gk cet4 cet6 ky toefl ielts,2688,2520,s:tubes/d:tubed/i:tubing/p:tubed/3:tubes,,
tuck,tʌk,n. eatables (especially sweets)\nn. (sports) a bodily position adopted in some sports (such as diving or skiing) in which the knees are bent and the thighs are drawn close to the chest\nn. a narrow flattened pleat or fold that is stitched in place\nv. fit snugly into,"n. 缝褶, 活力, 鼓声, 船尾突出部, 食品\nvt. 打褶, 卷起, 挤进, 塞, 收藏\nvi. 缝褶裥, 缩拢",,2,,cet4 cet6 ky ielts,4336,4115,d:tucked/p:tucked/i:tucking/3:tucks/s:tucks,,
Tuesday,'tju:zdi,n. the third day of the week; the second working day,n. 星期二,,4,1,zk gk ielts,2348,0,s:tuesdays,,
tug,tʌg,n. a sudden abrupt pull\nv. pull hard\nv. strive and make an effort to reach a goal\nv. tow (a vessel) with a tug,"n. 用力拉, 拖曳, 苦干, 挣扎, 绳索\nv. 用力拉",,2,,cet6 ky toefl ielts,6725,6210,p:tugged/i:tugging/s:tugs/d:tugged/3:tugs,,
tuition,tju:'iʃәn,n. a fee paid for instruction (especially for higher education),"n. 学费, 讲授",,1,,cet4 cet6 ky toefl ielts,8818,5817,i:tuitioning,,
tumble,tʌmbl,"n. an acrobatic feat of rolling or turning end over end\nv. fall down, as if collapsing\nv. roll over and over, back and forth\nv. throw together in a confused mass","n. 跌倒, 摔跤, 翻斤斗\nvi. 翻倒, 摔倒, 倒塌, 滚动, 翻斤斗, 仓促地行动\nvt. 使摔倒, 使滚翻, 弄乱",,2,,cet4 cet6 ky toefl ielts,6023,5472,p:tumbled/i:tumbling/d:tumbled/3:tumbles/s:tumbles,,
tumour,'tju:mә,n an abnormal new mass of tissue that serves no purpose,"n. 瘤, 肿块",,2,,ky ielts,4248,0,s:tumours,,
tumult,'tju:mʌlt,n. a state of commotion and noise and confusion\nn. violent agitation,"n. 骚动, 吵闹, 混乱\n[法] 骚乱, 骚动, 暴乱",,,,toefl ielts gre,20125,17862,s:tumults,,
